"inconsistent-obs","violated-rule"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K19-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K20-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K21-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K22-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K23-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K24-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K25-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K26-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K27-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K28-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K29-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C4-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C44-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I44-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I45-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C46-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I46-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K46-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I47-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C47-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I48-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C48-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K48-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C49-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K49-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I49-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C5-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I50-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K50-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C50-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I51-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C51-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K51-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I52-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K52-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C52-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K53-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C53-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K54-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I54-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I55-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K55-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K56-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I56-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K57-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I58-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K59-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C6-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I6-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K60-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K61-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I61-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K62-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I62-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I63-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K63-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K64-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K65-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C66-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I66-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I67-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K67-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C67-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I68-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-E68-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K68-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C68-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-E69-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K69-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C69-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I69-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C7-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K7-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I7-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K70-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C74-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I75-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-C75-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I76-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-I77-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K8-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-K9-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-AH10-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-AF10-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-AH14-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-AF27-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
